service,name,navigateFrom,navigateTo,multiplicity
API_MEASURINGPOINT,_MeasuringPointCondition,MSRGPOINTCONDITIONLONGTEXT_TYPE,MSRGPOINTCONDITION_TYPE,1
API_PURCHASEREQUISITION_2,_PurReqn,PURCHASEREQNITEMTYPE,PURCHASEREQNTYPE,1
API_CNTRLREQFORQUOTATION,_CentralRequestForQuotation,CENTRALREQFORQUOTATIONITEMTYPE,CENTRALREQUESTFORQUOTATIONTYPE,1
API_WORK_CENTER,_Header,WORKCENTERCAPACITYDESCRIPTIONTYPE,WORKCENTERHEADERTYPE,1
API_RFM_ASSORTMENT_MODULE,_ProdToExplicitAsstmtMdl,PRODUCTTOEXPLICITASSTMTMDLVERSTYPE,PRODUCTTOEXPLICITASSORTMENTMDLTYPE,1
API_BILLINGDOCUMENTREQUEST,_BillingDocumentRequest,BILLINGDOCUMENTREQUESTITEM_TYPE,BILLINGDOCUMENTREQUEST_TYPE,1
API_WHSE_INB_DELIVERY_2,_WhseInbDeliveryItem,WHSEINBOUNDDELIVERYHEADTYPE,WHSEINBOUNDDELIVERYITEMTYPE,*
API_CNTRLREQFORQUOTATION,_CntrlReqForQuotationBidder,CENTRALREQUESTFORQUOTATIONTYPE,CNTRLREQFORQUOTATIONBIDDERTYPE,*
API_MEASURINGPOINT,_LongText,MEASURINGPOINTTYPE,MEASURINGPOINTLONGTEXTTYPE,1
API_CNSLDTNCUSTOMER,_Text,CNSLDTNCUSTOMER_TYPE,CNSLDTNCUSTOMERTEXT_TYPE,*
API_WORK_CENTER,_CostCenter,WORKCENTERHEADERTYPE,WORKCENTERCOSTCENTERTYPE,*
API_CNSLDTNMATERIALGROUP,_Text,CNSLDTNMATERIALGROUP_TYPE,CNSLDTNMATERIALGROUPTEXT_TYPE,*
API_MEASURINGPOINT,_MeasuringPoint,MEASURINGPOINTLONGTEXTTYPE,MEASURINGPOINTTYPE,1
API_WORK_CENTER,_CapHeader,WORKCENTERCAPACITYDESCRIPTIONTYPE,WORKCENTERCAPACITYTYPE,1
API_WORK_CENTER,_Header,WORKCENTERPOOLEDCAPACITYTYPE,WORKCENTERHEADERTYPE,1
API_PROJECTBILLINGREQUEST,_WrittenOffPrjBillgElmEntry,PROJECTBILLINGREQUEST_TYPE,WRITTENOFFPRJBLGELMENTRDETS_TYPE,*
API_PURCHASEREQUISITION_2,_PurchaseRequisitionItem,PURCHASEREQNTYPE,PURCHASEREQNITEMTYPE,*
API_FREIGHTORDER,_FreightOrderEvent,FREIGHTORDER_TYPE,FREIGHTORDEREVENT_TYPE,*
API_BILLINGDOCUMENTREQUEST,_BillingDocumentRequest,BILLINGDOCUMENTREQUESTITEMPARTNER_TYPE,BILLINGDOCUMENTREQUEST_TYPE,1
API_WORK_CENTER,_Header,WORKCENTERCAPACITYSHIFTTYPE,WORKCENTERHEADERTYPE,1
API_SUPPLIERQUOTATION_2,_SupplierQuotation,SUPPLIERQUOTATIONITEM_TYPE,SUPPLIERQUOTATION_TYPE,1
API_WORK_CENTER,_Capacity,WORKCENTERHEADERTYPE,WORKCENTERCAPACITYTYPE,*
API_RFM_ASSORTMENT_MODULE,_AssortmentUser,EXPLICITASSORTMENTMODULETYPE,EXPLICITASSORTMENTMODULEUSERTYPE,*
API_RETAILPROMOTION,_RetailPromotionItem,A_RETAILPROMOTION_TYPE,A_RETAILPROMOTIONITEM_TYPE,*
API_RETAILPROMOTION,_RtlPromnLoclStoreGroup,A_RETAILPROMOTION_TYPE,A_RTLPROMNLOCALSTOREGROUP_TYPE,*
API_CNTRLREQFORQUOTATION,_CntrlRFQ,CENTRALRFQITEMDISTRIBUTIONTYPE,CENTRALREQUESTFORQUOTATIONTYPE,1
API_WRKCTRPOOLEDCAPACITY,_Header,WORKCENTERCAPACITYINTERVALTYPE,WORKCENTERCAPACITYTYPE,1
API_SALESORDER,_Item,SALESORDER_TYPE,SALESORDERITEM_TYPE,*
API_WAREHOUSE_ORDER_TASK_2,_WarehouseTask,WAREHOUSEORDERTYPE,WAREHOUSETASKTYPE,*
API_WORK_CENTER,_Shift,WORKCENTERCAPACITYINTERVALTYPE,WORKCENTERCAPACITYSHIFTTYPE,*
API_PROJECTBILLINGREQUEST,_ProjectBillingRequest,WRITTENOFFPRJBLGELMENTRDETS_TYPE,PROJECTBILLINGREQUEST_TYPE,1
API_RETAILPROMOTION,_RtlPromnLoclStoreGroupStore,A_RTLPROMNLOCALSTOREGROUP_TYPE,A_RTLPROMNLOCLSTOREGRPSTORE_TYPE,*
API_WORK_CENTER,_CapHeader,WORKCENTERCAPACITYINTERVALTYPE,WORKCENTERCAPACITYTYPE,1
API_RFM_ASSORTMENT_MODULE,_ProdToExplctMdlVers,PRODUCTTOEXPLICITASSORTMENTMDLTYPE,PRODUCTTOEXPLICITASSTMTMDLVERSTYPE,*
API_PURCHASEORDER_2,_PurchaseOrderItem,POSUBCONTRACTINGCOMPONENT_TYPE,PURCHASEORDERITEM_TYPE,1
API_WORK_CENTER,_Header,WORKCENTERCAPACITYTYPE,WORKCENTERHEADERTYPE,1
